Xn,F(Xn),F'(Xn),Xn+1,Error
(-5.708139446649638+0j),(-40.53164317976306+0j),(2270.890406748632+0j),(-5.690291098239996+0j),(0.017848348409642334+0j)
(-5.690291098239996+0j),(-39.659759898131945+0j),(2255.5538051120966+0j),(-5.67270793981201+0j),(0.017583158427985524+0j)
(-5.67270793981201+0j),(-38.80897431073907+0j),(2240.4955368549354+0j),(-5.655386336768241+0j),(0.017321603043769507+0j)
(-5.655386336768241+0j),(-37.97871544397302+0j),(2225.71023851333+0j),(-5.638322698030908+0j),(0.01706363873733263+0j)
(-5.638322698030908+0j),(-37.1684292002631+0j),(2211.1926579435953+0j),(-5.621513475611171+0j),(0.016809222419737146+0j)
(-5.621513475611171+0j),(-36.377577827659785+0j),(2196.937651835602+0j),(-5.604955164182868+0j),(0.01655831142830344+0j)
(-5.604955164182868+0j),(-35.6056394067971+0j),(2182.9401832848125+0j),(-5.588644300660616+0j),(0.01631086352225175+0j)
(-5.588644300660616+0j),(-34.85210735465004+0j),(2169.1953194215375+0j),(-5.572577463782163+0j),(0.016066836878453117+0j)
(-5.572577463782163+0j),(-34.11648994452038+0j),(2155.698229096022+0j),(-5.556751273694867+0j),(0.0158261900872958+0j)
(-5.556751273694867+0j),(-33.398309841703494+0j),(2142.4441806180002+0j),(-5.541162391546222+0j),(0.015588882148644956+0j)
(-5.541162391546222+0j),(-32.69710365430825+0j),(2129.4285395494276+0j),(-5.525807519078312+0j),(0.015354872467909786+0j)
(-5.525807519078312+0j),(-32.01242149871975+0j),(2116.646766549083+0j),(-5.510683398226106+0j),(0.015124120852206602+0j)
(-5.510683398226106+0j),(-31.34382657921248+0j),(2104.0944152678+0j),(-5.495786810719492+0j),(0.014896587506613379+0j)
(-5.495786810719492+0j),(-30.69089478123853+0j),(2091.767130293097+0j),(-5.481114577688974+0j),(0.014672233030518456+0j)
(-5.481114577688974+0j),(-30.05321427793177+0j),(2079.6606451420266+0j),(-5.466663559274919+0j),(0.014451018414054495+0j)
(-5.466663559274919+0j),(-29.430385149384456+0j),(2067.7707803010558+0j),(-5.452430654240301+0j),(0.014232905034618604+0j)
(-5.452430654240301+0j),(-28.822019014268523+0j),(2056.0934413118653+0j),(-5.438412799586827+0j),(0.014017854653473272+0j)
